,population,capacity,capacity_within,population_within,load,provision
252,0,0,0,0,,
253,0,0,0,2379,,
254,0,0,0,62145,,
255,0,0,0,46316,,
256,0,0,0,6062,,
257,0,0,0,0,,
258,0,0,0,17,,
259,0,0,0,0,,
260,0,0,0,1612,,
261,0,0,0,6062,,
262,0,0,0,0,,
263,0,0,0,0,,
264,0,0,0,0,,
265,0,0,0,0,,
266,0,0,0,0,,
267,0,0,0,0,,
268,0,0,0,0,,
269,0,0,0,0,,
270,0,0,0,0,,
271,0,0,0,0,,
272,0,0,0,0,,
273,0,0,0,0,,
274,0,0,0,0,,
275,0,0,0,0,,
276,0,0,0,0,,
277,0,0,0,0,,
278,0,0,0,0,,
279,0,0,0,0,,
280,0,0,0,0,,
281,0,0,0,0,,
282,0,0,0,0,,
283,0,0,0,3143,,
284,0,0,0,0,,
285,0,0,0,0,,
286,0,0,0,0,,
287,0,0,0,0,,
288,0,0,0,0,,
289,0,0,0,0,,
290,0,0,0,0,,
291,0,0,0,0,,
292,0,0,0,0,,
293,0,0,0,0,,
294,0,0,0,0,,
295,0,0,0,0,,
296,0,0,0,0,,
297,0,0,0,0,,
298,0,0,0,0,,
299,0,0,0,0,,
300,0,0,0,0,,
301,0,0,0,388,,
302,0,0,0,0,,
303,0,0,0,0,,
304,0,0,0,0,,
305,0,0,0,0,,
306,0,0,0,0,,
307,0,0,0,0,,
308,0,0,0,0,,
309,0,0,0,9553,,
310,0,0,0,0,,
311,0,0,0,0,,
312,0,0,0,0,,
313,0,0,0,0,,
314,0,0,0,0,,
315,0,0,0,0,,
316,0,0,0,3143,,
317,0,0,0,0,,
318,0,0,0,0,,
319,0,0,0,11816,,
320,22,0,0,22,,0.0
321,0,0,0,0,,
322,0,0,0,0,,
323,0,0,0,0,,
324,0,0,0,0,,
325,0,0,0,0,,
326,0,0,0,0,,
327,0,0,0,18913,,
328,0,0,0,634076,,
329,0,0,0,238014,,
330,0,0,0,7750,,
331,0,0,0,0,,
332,0,0,0,1384655,,
333,0,0,0,0,,
334,0,0,0,1026,,
335,0,0,0,509,,
336,0,0,0,509,,
337,0,0,0,1026,,
338,0,0,0,206,,
339,0,0,0,1026,,
340,3,0,0,1026,,0.0
341,0,0,0,118194,,
342,0,0,0,237050,,
343,0,0,0,179758,,
344,0,0,0,148587,,
345,0,0,0,236179,,
346,0,0,0,179758,,
347,0,0,0,174505,,
348,0,0,0,179103,,
349,0,0,0,240991,,
350,0,0,0,279646,,
351,0,0,0,188138,,
352,0,0,0,362494,,
353,0,0,0,276886,,
354,0,0,0,51130,,
355,0,0,0,51130,,
356,0,0,0,50545,,
357,0,0,0,6062,,
358,0,0,0,40937,,
359,0,0,0,53606,,
360,0,0,0,40325,,
361,0,0,0,36450,,
362,0,0,0,6063,,
363,0,0,0,37086,,
364,0,0,0,18934,,
